"id","favs","retweets","user"
"872475820425654273","2","0","Yuriy Tymchuk"
"872475492477218816","0","1","Alexander Serebrenik"
"872475363523399680","1","0","Alexander Serebrenik"
"872474743852630016","1","0","Vadim Zaytsev"
"872474724940513280","1","0","Alexander Serebrenik"
"872474415694589952","1","0","Vadim Zaytsev"
"872474054510424064","3","1","Vadim Zaytsev"
"872468904618188801","1","0","Alexander Serebrenik"
"872468306321707009","0","0","Alexander Serebrenik"
"872467545076400129","0","0","Alexander Serebrenik"
"872467398565253122","1","0","Vadim Zaytsev"
"872467045786537985","1","0","Alexander Serebrenik"
"872466842467667968","0","3","Davide Spadini"
"872466719037698048","0","1","Alexander Serebrenik"
"872466702612738048","0","1","Alexander Serebrenik"
"872466514250788865","0","1","Alexander Serebrenik"
"872466330724823044","2","3","Alexander Serebrenik"
"872462750534037504","0","2","Dorealda Dalipaj"
"872459829062905856","8","7","Vadim Zaytsev"
"872455064182456320","0","4","Brent"
"872454982917861376","0","9","Brent"
"872447904421728256","2","2","Ward Muylaert"
"872447788168216576","1","0","Vadim Zaytsev"
"872447361162907648","1","1","Vadim Zaytsev"
"872447158825480193","1","0","Dorealda Dalipaj"
"872447024779726848","2","1","Ali Parsai"
"872446496494555137","3","2","Vadim Zaytsev"
"872446078498603008","2","0","Vadim Zaytsev"
"872445180930138114","1","0","Ali Parsai"
"872444863245156352","2","0","Vadim Zaytsev"
"872443644569149441","0","0","Dorealda Dalipaj"
"872439366328647680","1","0","Vadim Zaytsev"
"872437013953355778","3","0","Vadim Zaytsev"
"872436704342417412","0","3","Tom Mens"
"872436121531232257","0","4","Alexander Serebrenik"
"872436035774558209","0","3","Alexander Serebrenik"
"872435995677011968","0","3","Alexander Serebrenik"
"872435840210919424","2","3","Vadim Zaytsev"
"872435774049976320","0","2","Felienne"
"872435422496002049","6","1","Alexander Serebrenik"
"872433704668471297","4","3","Vadim Zaytsev"
"872432945851768832","2","0","Vadim Zaytsev"
"872432735331155972","2","0","Dorealda Dalipaj"
"872432543215366144","0","0","Dorealda Dalipaj"
"872721137909858304","2","1","Vadim Zaytsev"
"872719225890197504","1","1","Alexander Serebrenik"
"872718120959475712","0","0","Alexander Serebrenik"
"872716065226280965","1","0","Vadim Zaytsev"
"872715794123304960","2","0","Vadim Zaytsev"
"872713067431424000","0","0","Alexander Serebrenik"
